GameId,Games,Year,Season,City
567,2004 Summer,2004,Summer,Athina
568,2016 Summer,2016,Summer,Rio de Janeiro
569,2012 Summer,2012,Summer,London
570,2016 Summer,2016,Summer,Rio de Janeiro
571,2008 Summer,2008,Summer,Beijing
572,2004 Summer,2004,Summer,Athina
573,2008 Summer,2008,Summer,Beijing
574,2016 Summer,2016,Summer,Rio de Janeiro
575,2000 Summer,2000,Summer,Sydney
576,2008 Summer,2008,Summer,Beijing
577,2016 Summer,2016,Summer,Rio de Janeiro
578,2016 Summer,2016,Summer,Rio de Janeiro
579,2016 Summer,2016,Summer,Rio de Janeiro
580,2004 Summer,2004,Summer,Athina
581,2016 Summer,2016,Summer,Rio de Janeiro
582,2012 Summer,2012,Summer,London
583,2008 Summer,2008,Summer,Beijing
584,2016 Summer,2016,Summer,Rio de Janeiro
585,2012 Summer,2012,Summer,London
586,2012 Summer,2012,Summer,London
587,2016 Summer,2016,Summer,Rio de Janeiro
588,2016 Summer,2016,Summer,Rio de Janeiro
589,2016 Summer,2016,Summer,Rio de Janeiro
590,2008 Summer,2008,Summer,Beijing
591,2012 Summer,2012,Summer,London
592,2012 Summer,2012,Summer,London
593,2000 Summer,2000,Summer,Sydney
594,2012 Summer,2012,Summer,London
595,2008 Summer,2008,Summer,Beijing
596,2008 Summer,2008,Summer,Beijing
597,2012 Summer,2012,Summer,London
598,2016 Summer,2016,Summer,Rio de Janeiro
599,2004 Summer,2004,Summer,Athina
600,2000 Summer,2000,Summer,Sydney
601,2004 Summer,2004,Summer,Athina
602,2012 Summer,2012,Summer,London
603,2000 Summer,2000,Summer,Sydney
604,2000 Summer,2000,Summer,Sydney
605,2004 Summer,2004,Summer,Athina
606,2000 Summer,2000,Summer,Sydney
607,2012 Summer,2012,Summer,London
608,2012 Summer,2012,Summer,London
609,2012 Summer,2012,Summer,London
610,2012 Summer,2012,Summer,London
611,2012 Summer,2012,Summer,London
612,2016 Summer,2016,Summer,Rio de Janeiro
613,2004 Summer,2004,Summer,Athina
614,2000 Summer,2000,Summer,Sydney
615,2004 Summer,2004,Summer,Athina
616,2004 Summer,2004,Summer,Athina
617,2004 Summer,2004,Summer,Athina
618,2000 Summer,2000,Summer,Sydney
619,2012 Summer,2012,Summer,London
620,2016 Summer,2016,Summer,Rio de Janeiro
621,2016 Summer,2016,Summer,Rio de Janeiro
622,2000 Summer,2000,Summer,Sydney
623,2004 Summer,2004,Summer,Athina
624,2000 Summer,2000,Summer,Sydney
625,2000 Summer,2000,Summer,Sydney
626,2008 Summer,2008,Summer,Beijing
627,2000 Summer,2000,Summer,Sydney
628,2000 Summer,2000,Summer,Sydney
629,2012 Summer,2012,Summer,London
630,2012 Summer,2012,Summer,London
631,2012 Summer,2012,Summer,London
632,2004 Summer,2004,Summer,Athina
633,2004 Summer,2004,Summer,Athina
634,2004 Summer,2004,Summer,Athina
635,2012 Summer,2012,Summer,London
636,2000 Summer,2000,Summer,Sydney
637,2000 Summer,2000,Summer,Sydney
638,2000 Summer,2000,Summer,Sydney
639,2004 Summer,2004,Summer,Athina
640,2004 Summer,2004,Summer,Athina
641,2000 Summer,2000,Summer,Sydney
642,2004 Summer,2004,Summer,Athina
643,2012 Summer,2012,Summer,London
